movieId,countryId
479,2
480,41
481,6
482,1
483,1
488,1
488,3
489,1
489,10
490,34
492,1
493,1
494,1
496,1
497,1
499,4
499,5
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
507,4
508,1
508,3
509,1
509,3
510,1
511,27
512,3
513,10
513,41
521,1
522,1
523,2
524,1
524,4
525,1
526,1
527,25
530,3
531,3
532,3
533,1
533,3
534,1
534,2
534,3
534,5
535,1
537,4
539,1
540,1
541,1
542,26
543,3
544,1
546,1
547,1
548,12
549,1
550,1
550,2
551,1
552,5
553,2
553,3
553,4
553,5
553,14
553,31
553,33
553,34
553,53
554,21
554,33
557,1
558,1
559,1
560,1
561,1
561,2
562,1
563,1
564,1
565,1
565,12
567,1
568,1
570,4
570,5
571,1
572,31
572,34
572,53
573,3
574,1
575,2
576,1
577,1
578,1
579,1
580,1
581,1
581,3
582,2
583,3
584,1
585,1
586,1
587,1
588,1
588,4
588,10
588,12
590,1
591,1
591,3
591,4
591,87
592,1
593,21
594,1
595,1
596,1
597,1
598,4
598,42
599,1
600,1
600,3
601,1
602,1
603,1
603,8
604,1
604,8
605,1
605,8
606,1
607,1
608,1
609,1
612,1
612,4
612,10
613,2
613,5
613,23
614,34
615,1
616,1
616,12
616,25
617,1
618,1
619,1
620,1
621,1
622,4
622,6
622,32
623,1
623,3
624,1
625,3
626,4
627,3
628,1
629,1
630,1
631,1
632,1
633,14
633,15
634,1
634,3
634,4
634,18
635,1
636,1
637,5
638,1
639,1
640,1
641,1
642,1
643,21
644,1
646,3
647,12
648,4
649,4
649,5
650,1
651,1
652,1
652,3
652,87
653,2
654,1
655,1
655,2
655,3
655,4
657,3
658,1
658,3
659,2
659,4
659,20
659,27
660,1
660,3
660,4
660,67
661,2
662,4
663,1
664,1
665,1
666,42
667,3
668,1
668,3
669,10
670,37
671,1
671,3
672,1
672,2
672,3
673,1
673,3
674,1
674,3
675,1
675,3
676,1
677,2
678,1
679,1
679,3
680,1
681,1
681,3
682,1
682,3
685,2
686,1
687,1
687,3
688,1
689,43
690,4
691,1
691,3
692,1
693,1
694,1
694,3
695,1
696,1
697,21
698,1
698,3
698,4
699,1
699,3
700,1
700,3
701,1
702,1
703,1
704,3
705,1
706,2
707,1
707,3
707,4
707,36
708,1
708,3
709,1
709,3
710,1
710,3
711,1
712,3
713,4
713,8
713,25
714,1
714,3
742,34
744,1
745,1
746,3
746,4
746,5
746,7
747,1
747,3
747,4
750,3
751,3
752,1
752,2
752,3
753,1
754,1
755,1
756,1
757,3
758,3
759,1
760,4
760,5
761,4
762,3
763,25
764,1
765,1
766,1
767,1
767,3
768,3
768,40
769,1
770,1
771,1
772,1
773,1
774,4
775,4
776,4
777,4
778,4
779,2
779,4
780,4
781,2
782,1
783,3
783,41
784,3
784,4
784,40
786,1
787,1
788,1
789,40
790,1
791,10
792,1
792,3
793,1
794,1
794,3
795,1
795,2
796,1
797,34
798,2
799,2
800,26
801,1
802,1
802,3
803,4
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
814,3
815,1
816,1
816,2
817,1
818,1
819,1
820,1
821,1
821,2
822,41
823,12
824,1
824,8
825,1
826,1
826,3
